hospital_name,state,district,city,hospital_type,specialization,rating,cost_level,latitude,longitude,source_note
Apollo Hospitals Bannerghatta Road,Karnataka,Bengaluru Urban,Bengaluru,Private,Multi-speciality,4.6,High,12.9572,77.5784,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Hospital Old Airport Road,Karnataka,Bengaluru Urban,Bengaluru,Private,Multi-speciality,4.4,High,12.9626,77.6054,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Fortis Hospital Bannerghatta Road,Karnataka,Bengaluru Urban,Bengaluru,Private,Multi-speciality,4.5,High,12.968,77.5982,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Aster CMI Hospital,Karnataka,Bengaluru Urban,Bengaluru,Private,Multi-speciality,4.5,High,12.9734,77.591,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Narayana Health City,Karnataka,Bengaluru Urban,Bengaluru,Private,Multi-speciality,4.6,High,12.9788,77.5838,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
St John's Medical College Hospital,Karnataka,Bengaluru Urban,Bengaluru,Government,Multi-speciality,4.1,Low,12.9842,77.6108,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
M S Ramaiah Memorial Hospital,Karnataka,Bengaluru Urban,Bengaluru,Trust,Multi-speciality,3.9,Low,12.959,77.6036,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
BGS Gleneagles Global Hospital,Karnataka,Bengaluru Urban,Bengaluru,Private,Multi-speciality,4.3,High,12.9644,77.5964,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vydehi Institute of Medical Sciences and Research Centre,Karnataka,Bengaluru Urban,Bengaluru,Government,Multi-speciality,3.9,Low,12.9698,77.5892,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sri Jayadeva Institute of Cardiovascular Sciences and Research,Karnataka,Bengaluru Urban,Bengaluru,Trust,Cardiology,4.5,High,12.9752,77.582,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Apollo BGS Hospitals Mysuru,Karnataka,Mysuru,Mysuru,Private,Multi-speciality,4.6,High,12.3048,76.6538,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
JSS Hospital,Karnataka,Mysuru,Mysuru,Private,Multi-speciality,4.2,Medium,12.3102,76.6466,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Columbia Asia Hospital Mysore,Karnataka,Mysuru,Mysuru,Private,Multi-speciality,4.4,Medium,12.285,76.6394,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
K R Hospital Mysuru,Karnataka,Mysuru,Mysuru,Trust,Multi-speciality,4.1,Low,12.2904,76.6322,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Cauvery Heart and Multi-Speciality Hospital,Karnataka,Mysuru,Mysuru,Trust,Cardiology,4.2,Medium,12.2958,76.625,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Hospital Mysuru,Karnataka,Mysuru,Mysuru,Private,Multi-speciality,4.6,High,12.3012,76.652,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mysore Medical College Hospital,Karnataka,Mysuru,Mysuru,Government,Multi-speciality,3.9,Low,12.3066,76.6448,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Siddhartha Multispeciality Hospital,Karnataka,Mysuru,Mysuru,Trust,Multi-speciality,3.9,Low,12.2814,76.6376,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
City Speciality Hospital Mysuru,Karnataka,Mysuru,Mysuru,Trust,Multi-speciality,3.9,Low,12.2868,76.6304,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Chamundi Hospital and Research Centre,Karnataka,Mysuru,Mysuru,Private,Multi-speciality,4.1,Medium,12.2922,76.6232,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kasturba Medical College Hospital Mangalore,Karnataka,Dakshina Kannada,Mangaluru,Government,Multi-speciality,4.0,Low,12.9159,74.8668,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Father Muller Medical College Hospital,Karnataka,Dakshina Kannada,Mangaluru,Government,Multi-speciality,3.7,Low,12.9213,74.8596,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Yenepoya Medical College Hospital,Karnataka,Dakshina Kannada,Mangaluru,Government,Multi-speciality,3.8,Low,12.9267,74.8524,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KMC Hospital Attavar,Karnataka,Dakshina Kannada,Mangaluru,Trust,Multi-speciality,4.1,High,12.9015,74.8452,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
AJ Hospital and Research Centre,Karnataka,Dakshina Kannada,Mangaluru,Private,Multi-speciality,4.5,High,12.9069,74.8722,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Indiana Hospital and Heart Institute,Karnataka,Dakshina Kannada,Mangaluru,Private,Cardiology,4.7,High,12.9123,74.865,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Unity Hospital Mangalore,Karnataka,Dakshina Kannada,Mangaluru,Private,Multi-speciality,4.3,Medium,12.9177,74.8578,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
